﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7nnWIPM5hwE3DaUBkvOIpy","Drive","Incubus","Make Yourself","1","8","232453","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6urCAbunOQI4bLhmGpX7iS","Don't Speak","No Doubt","Tragic Kingdom","1","10","263560","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:7yCPwWs66K8Ba5lFuU2bcx","All The Small Things","blink-182","Enema Of The State","1","8","168000","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:05NYcsjJwOYq4jIiKPVj9p","Hard To Handle","The Black Crowes","Shake Your Money Maker","1","6","188066","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0Dw9z44gXhplDh5HCWZIxP","You Oughta Know","Alanis Morissette","Jagged Little Pill","1","2","249200","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3G69vJMWsX6ZohTykad2AU","One","U2","Achtung Baby (Deluxe Edition)","1","3","276186","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:7CVYxHq1L0Z4G84jTDS6Jl","Don't Look Back In Anger - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Edition) [Remastered]","1","4","289559","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:48iWbsOaBUAGzMdoSmqyg1","Lightning Crashes","Live","Throwing Copper","1","5","325600","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2c5wml8wsBnPfNSbCZ574T","Take a Picture","Filter","Title Of Record","1","6","359520","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3SVAN3BRByDmHOhKyIDxfC","Karma Police","Radiohead","OK Computer","1","6","264066","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4P5KoWXOxwuobLmHXLMobV","Come As You Are","Nirvana","Nevermind (Remastered)","1","3","218920","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0uppYCG86ajpV2hSR3dJJ0","Give It Away","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","1","9","282906","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:278jOl7gFMJ9WMnUbGxWRe","Wicked Garden","Stone Temple Pilots","Core","1","3","245280","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4ReyTz0y3TGkX48wO3Llot","Epic","Faith No More","The Real Thing","1","2","293653","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0fIC59ZyS8ThtUF0Um6zuD","Cherub Rock - Remastered 2011","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","1","298253","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:7rBMZvgeWnOTHWUh3Pvw51","Chloe Dancer/Crown Of Thorns","Mother Love Bone","Mother Love Bone","1","17","502040","spotify:user:","2020-04-07T16:44:20Z"
